video_id,style_raw,style_no,category_id,category_name,brand_code,brand_name,oss_url,posted_date,impressions,views,clicks,orders,revenue
7335250356407979306,SOLE-FINA,DWUMFA1917,53,平底鞋,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7335250356407979306/2026/07/08/7335250356407979306_513af43946444ed19ecda1c32a841b14.mp4,2024-02-13,49395,41423,297,3,81.330000
7336077961562508586,GRANDWING,BMUMOX2001,55,牛津鞋,1,Bruno Marc,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7336077961562508586/2026/07/08/7336077961562508586_8f4be76f3c564b949a050c901527b387.mp4,2024-02-15,200612,191470,8767,89,3762.060000
7341214368723422506,SDHS2389W,DWUMHS2302,63,高跟凉鞋,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7341214368723422506/2026/07/08/7341214368723422506_954c5f6fa31e47aea787a9322baf5eff.mp4,2024-02-29,131280,118768,2523,9,297.680000
7344132132282879263,SARR009W,AWUMRS2301,70,跑鞋,9,ALLSWIFIT,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7344132132282879263/2026/07/07/7344132132282879263_cc851d1f312d4f55a66cfe24b6971be5.mp4,2024-03-08,456225,435239,10254,166,6059.360000
7344437720250354987,SDPU2321W,DWUMPU2325,52,高跟鞋,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7344437720250354987/2026/07/08/7344437720250354987_352240d768c148b397ce74a0edaa1ac0.mp4,2024-03-09,23938,19514,453,1,31.990000
7344606193215655199,DPU214,DWUMPU2102,52,高跟鞋,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7344606193215655199/2026/07/08/7344606193215655199_2289a1af2d734f8691e943370e0e0240.mp4,2024-03-09,128054,120586,4368,86,3084.620000
7345320868379184427,SDSS2218W,DWUMSS2212,68,凉拖鞋,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7345320868379184427/2026/07/08/7345320868379184427_312a92f12d0c4dd9a09278cbd7da97a6.mp4,2024-03-11,144703,112450,3707,88,3174.870000
7345540336602697002,REED-1,DWUMPS2008,65,厚底凉鞋,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7345540336602697002/2026/07/07/7345540336602697002_8364fa8bb15944d0b174f78be3735e30.mp4,2024-03-12,286623,422008,9436,199,6978.070000
7346334587909377310,SDPW2406W,DWUMWS2403,64,坡跟凉鞋,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7346334587909377310/2026/07/07/7346334587909377310_8bc8a7a1751945e3bc2e8b346f7fc8db.mp4,2024-03-14,307311,278808,14155,133,4851.980000
7347156521182186783,SDKB2231W,DWUMKB2201,61,及膝靴,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7347156521182186783/2026/07/07/7347156521182186783_bda94173bf614bc8954bc10d066d633c.mp4,2024-03-16,860710,688247,36208,263,11430.700000
7347251244056005930,SDHS2405W,DWUMHS2458,63,高跟凉鞋,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7347251244056005930/2026/07/07/7347251244056005930_63d003a6510748bbad8b8c13a7cd3f1c.mp4,2024-03-17,594738,623668,22517,243,8797.310000
7347683302771297579,SARR009W,AWUMRS2301,70,跑鞋,9,ALLSWIFIT,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7347683302771297579/2026/07/08/7347683302771297579_8a81f889fa894171a1e8c8a089a0d719.mp4,2024-03-18,104829,101181,4445,55,1990.550000
7347822526065659178,SDPU2230W,DWUMPU2209,52,高跟鞋,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7347822526065659178/2026/07/07/7347822526065659178_e5db350f214141cc8d47532cc8ddb113.mp4,2024-03-18,412740,337394,12673,158,5860.560000
7348927880295877934,GRANDWING,BMUMOX2001,55,牛津鞋,1,Bruno Marc,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7348927880295877934/2026/07/07/7348927880295877934_e1f2b5685d5f4b69aad4e131216611a8.mp4,2024-03-21,320465,596938,9708,218,8324.960000
7348960606126476586,SBOX2317M,BMUMOX2303,55,牛津鞋,1,Bruno Marc,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7348960606126476586/2026/07/08/7348960606126476586_8a4b8bb4b2654c0f8adea45554224a86.mp4,2024-03-21,133530,126699,5463,75,2621.710000
7349256948363119914,SDKB2231W,DWUMKB2201,61,及膝靴,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7349256948363119914/2026/07/07/7349256948363119914_a0c4a54c5b1f4f78a42b8da8c8ddb4fa.mp4,2024-03-22,863626,711622,40325,225,10010.320000
7349348657092709663,HENRY-1,BMUMSP2007,56,一脚蹬,1,Bruno Marc,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7349348657092709663/2026/07/07/7349348657092709663_72006daa59234725a067cc43f784ca2e.mp4,2024-03-22,725153,633636,25818,155,4734.300000
7349710896282864926,SDMB2207W,DWUMMB2203,60,中筒靴,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7349710896282864926/2026/07/08/7349710896282864926_848941db245f42e49f0e648e1938c158.mp4,2024-03-23,37402,33000,415,1,45.990000
7350073910026636586,SDKB2231W,DWUMKB2201,61,及膝靴,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7350073910026636586/2026/07/08/7350073910026636586_c2c246fdd5f5437db1d25862967a57d9.mp4,2024-03-24,78099,71115,1822,17,713.770000
7351230474779512095,HENRY-1,BMUMSP2007,56,一脚蹬,1,Bruno Marc,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7351230474779512095/2026/07/08/7351230474779512095_6581ab09ba464484b14ed2e823a8bdc9.mp4,2024-03-27,203858,161227,3127,61,1828.800000
7352276592829173035,SNMT241M,NMUMMT2405,88,军事用靴,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7352276592829173035/2026/07/08/7352276592829173035_0a06ce7de10b49c2abff924d3b23059e.mp4,2024-03-30,344923,299301,14436,84,4060.060000
7354542458962758955,SDSS2218W,DWUMSS2212,68,凉拖鞋,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7354542458962758955/2026/07/08/7354542458962758955_845bd6172a2f49a98cac148e5e71dad1.mp4,2024-04-05,85463,137030,3167,95,3380.070000
7354801680615099691,SNHB211W,NWUMHB2101,82,徒步靴,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7354801680615099691/2026/07/08/7354801680615099691_050180fd206947a4a1426ce8dcd24a62.mp4,2024-04-06,249177,197215,11481,63,3500.980000
7356046460498038058,SDPU2419W,DWUMPU2443,52,高跟鞋,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7356046460498038058/2026/07/08/7356046460498038058_c601c3c2b4d84015a6c1cdf34b98f3a9.mp4,2024-04-09,320168,304720,2393,4,150.570000
7356060201008598314,SNMT241M,NMUMMT2405,88,军事用靴,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7356060201008598314/2026/07/07/7356060201008598314_da0d29b39204457b847f83e7d15c3c0a.mp4,2024-04-09,1541104,1471055,50493,213,9143.230000
7358137959117262122,SNMT246M,NMUMMT2406,88,军事用靴,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7358137959117262122/2026/07/08/7358137959117262122_c2e3856d33aa4e72b40edd4670992fa0.mp4,2024-04-15,277714,194562,10259,69,3890.440000
7358258069383499050,SNMT241M,NMUMMT2405,88,军事用靴,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7358258069383499050/2026/07/06/7358258069383499050_0a95a980013e4d488dfd79bc0e0cf9bf.mp4,2024-04-15,1283488,1644624,29852,412,24362.700000
7358275179446816042,SDFS2405W,DWUMFS2410,66,平底凉鞋,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7358275179446816042/2026/07/08/7358275179446816042_c0840a4b02ef43fc9c8254fe8d5c7f15.mp4,2024-04-15,67998,799655,2312,5,182.720000
7359006261213400363,SDMB2405W,DWUMMB2415,60,中筒靴,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7359006261213400363/2026/07/08/7359006261213400363_aa43482411d346babd3b096dac71698a.mp4,2024-04-17,23376,115384,597,2,66.980000
7363752624820129066,GRANDWING,BMUMOX2001,55,牛津鞋,1,Bruno Marc,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7363752624820129066/2026/07/07/7363752624820129066_c792b0f89c084d5b88a0c085e047ce06.mp4,2024-04-30,220148,279328,6545,187,6771.390000
7364131577246371115,GRANDWINGWIDE,BMUWOX2305,55,牛津鞋,1,Bruno Marc,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7364131577246371115/2026/07/07/7364131577246371115_0be47c05eabc4d099e609ac787cf8fae.mp4,2024-05-01,46863,176410,2896,125,4368.360000
7365918162878991658,SNMT241M,NMUMMT2405,88,军事用靴,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7365918162878991658/2026/07/09/7365918162878991658_9657dc59a25e4cf49a4d5aec931d7ee7.mp4,2024-05-06,31508,22363,589,0,0.000000
7366281238660861230,SDPU2350W,DWUMPU2313,52,高跟鞋,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7366281238660861230/2026/07/07/7366281238660861230_03fa7ab5e0274883a7884fcd896c227a.mp4,2024-05-07,195605,186434,7189,143,4874.330000
7366480212910968110,SDHS2410W,DWUMSS2427,68,凉拖鞋,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7366480212910968110/2026/07/13/7366480212910968110_8f5297ca93ae49aeaef2a7fb1d7ef0db.mp4,2024-05-07,365779,374423,20636,127,4548.880000
